case_id,recording_id,channel_index,original_channel_name,canonical_channel_name
chb01,chb01_05,11,P4-O2,P4-O2
chb01,chb01_05,12,FP2-F8,FP2-F8
chb01,chb01_05,13,F8-T8,F8-T8
chb01,chb01_05,14,T8-P8-0,T8-P8-0
chb01,chb01_05,15,P8-O2,P8-O2
chb01,chb01_05,16,FZ-CZ,FZ-CZ
chb01,chb01_05,17,CZ-PZ,CZ-PZ
chb01,chb01_05,18,P7-T7,P7-T7
chb01,chb01_05,19,T7-FT9,T7-FT9
chb01,chb01_05,20,FT9-FT10,FT9-FT10
chb01,chb01_05,21,FT10-T8,FT10-T8
chb01,chb01_05,22,T8-P8-1,T8-P8-1
chb01,chb01_06,0,FP1-F7,FP1-F7
chb01,chb01_06,1,F7-T7,F7-T7
chb01,chb01_06,2,T7-P7,T7-P7
chb01,chb01_06,3,P7-O1,P7-O1
chb01,chb01_06,4,FP1-F3,FP1-F3
chb01,chb01_06,5,F3-C3,F3-C3
chb01,chb01_06,6,C3-P3,C3-P3
chb01,chb01_06,7,P3-O1,P3-O1
chb01,chb01_06,8,FP2-F4,FP2-F4
chb01,chb01_06,9,F4-C4,F4-C4
chb01,chb01_06,10,C4-P4,C4-P4
chb01,chb01_06,11,P4-O2,P4-O2
chb01,chb01_06,12,FP2-F8,FP2-F8
chb01,chb01_06,13,F8-T8,F8-T8
chb01,chb01_06,14,T8-P8-0,T8-P8-0
chb01,chb01_06,15,P8-O2,P8-O2
chb01,chb01_06,16,FZ-CZ,FZ-CZ
chb01,chb01_06,17,CZ-PZ,CZ-PZ
chb01,chb01_06,18,P7-T7,P7-T7
chb01,chb01_06,19,T7-FT9,T7-FT9
chb01,chb01_06,20,FT9-FT10,FT9-FT10
chb01,chb01_06,21,FT10-T8,FT10-T8
chb01,chb01_06,22,T8-P8-1,T8-P8-1
chb01,chb01_07,0,FP1-F7,FP1-F7
chb01,chb01_07,1,F7-T7,F7-T7
chb01,chb01_07,2,T7-P7,T7-P7
chb01,chb01_07,3,P7-O1,P7-O1
chb01,chb01_07,4,FP1-F3,FP1-F3
chb01,chb01_07,5,F3-C3,F3-C3
chb01,chb01_07,6,C3-P3,C3-P3
chb01,chb01_07,7,P3-O1,P3-O1
chb01,chb01_07,8,FP2-F4,FP2-F4
chb01,chb01_07,9,F4-C4,F4-C4
chb01,chb01_07,10,C4-P4,C4-P4
chb01,chb01_07,11,P4-O2,P4-O2
chb01,chb01_07,12,FP2-F8,FP2-F8
chb01,chb01_07,13,F8-T8,F8-T8
chb01,chb01_07,14,T8-P8-0,T8-P8-0
chb01,chb01_07,15,P8-O2,P8-O2
chb01,chb01_07,16,FZ-CZ,FZ-CZ
chb01,chb01_07,17,CZ-PZ,CZ-PZ
chb01,chb01_07,18,P7-T7,P7-T7
chb01,chb01_07,19,T7-FT9,T7-FT9
chb01,chb01_07,20,FT9-FT10,FT9-FT10
chb01,chb01_07,21,FT10-T8,FT10-T8
chb01,chb01_07,22,T8-P8-1,T8-P8-1
chb01,chb01_08,0,FP1-F7,FP1-F7
chb01,chb01_08,1,F7-T7,F7-T7
chb01,chb01_08,2,T7-P7,T7-P7
chb01,chb01_08,3,P7-O1,P7-O1
chb01,chb01_08,4,FP1-F3,FP1-F3
chb01,chb01_08,5,F3-C3,F3-C3
chb01,chb01_08,6,C3-P3,C3-P3
chb01,chb01_08,7,P3-O1,P3-O1
chb01,chb01_08,8,FP2-F4,FP2-F4
chb01,chb01_08,9,F4-C4,F4-C4
chb01,chb01_08,10,C4-P4,C4-P4
chb01,chb01_08,11,P4-O2,P4-O2
chb01,chb01_08,12,FP2-F8,FP2-F8
chb01,chb01_08,13,F8-T8,F8-T8
chb01,chb01_08,14,T8-P8-0,T8-P8-0
chb01,chb01_08,15,P8-O2,P8-O2
chb01,chb01_08,16,FZ-CZ,FZ-CZ
chb01,chb01_08,17,CZ-PZ,CZ-PZ
chb01,chb01_08,18,P7-T7,P7-T7
chb01,chb01_08,19,T7-FT9,T7-FT9
chb01,chb01_08,20,FT9-FT10,FT9-FT10
chb01,chb01_08,21,FT10-T8,FT10-T8
chb01,chb01_08,22,T8-P8-1,T8-P8-1
chb01,chb01_09,0,FP1-F7,FP1-F7
chb01,chb01_09,1,F7-T7,F7-T7
chb01,chb01_09,2,T7-P7,T7-P7
chb01,chb01_09,3,P7-O1,P7-O1
chb01,chb01_09,4,FP1-F3,FP1-F3
chb01,chb01_09,5,F3-C3,F3-C3
chb01,chb01_09,6,C3-P3,C3-P3
chb01,chb01_09,7,P3-O1,P3-O1
chb01,chb01_09,8,FP2-F4,FP2-F4
chb01,chb01_09,9,F4-C4,F4-C4
chb01,chb01_09,10,C4-P4,C4-P4
chb01,chb01_09,11,P4-O2,P4-O2
chb01,chb01_09,12,FP2-F8,FP2-F8
chb01,chb01_09,13,F8-T8,F8-T8
chb01,chb01_09,14,T8-P8-0,T8-P8-0
chb01,chb01_09,15,P8-O2,P8-O2
chb01,chb01_09,16,FZ-CZ,FZ-CZ
chb01,chb01_09,17,CZ-PZ,CZ-PZ
chb01,chb01_09,18,P7-T7,P7-T7
chb01,chb01_09,19,T7-FT9,T7-FT9
chb01,chb01_09,20,FT9-FT10,FT9-FT10
chb01,chb01_09,21,FT10-T8,FT10-T8
chb01,chb01_09,22,T8-P8-1,T8-P8-1
chb01,chb01_10,0,FP1-F7,FP1-F7
chb01,chb01_10,1,F7-T7,F7-T7
chb01,chb01_10,2,T7-P7,T7-P7
chb01,chb01_10,3,P7-O1,P7-O1
chb01,chb01_10,4,FP1-F3,FP1-F3
chb01,chb01_10,5,F3-C3,F3-C3
chb01,chb01_10,6,C3-P3,C3-P3
chb01,chb01_10,7,P3-O1,P3-O1
chb01,chb01_10,8,FP2-F4,FP2-F4
chb01,chb01_10,9,F4-C4,F4-C4
chb01,chb01_10,10,C4-P4,C4-P4
chb01,chb01_10,11,P4-O2,P4-O2
chb01,chb01_10,12,FP2-F8,FP2-F8
chb01,chb01_10,13,F8-T8,F8-T8
chb01,chb01_10,14,T8-P8-0,T8-P8-0
chb01,chb01_10,15,P8-O2,P8-O2
chb01,chb01_10,16,FZ-CZ,FZ-CZ
chb01,chb01_10,17,CZ-PZ,CZ-PZ
chb01,chb01_10,18,P7-T7,P7-T7
chb01,chb01_10,19,T7-FT9,T7-FT9
chb01,chb01_10,20,FT9-FT10,FT9-FT10
chb01,chb01_10,21,FT10-T8,FT10-T8
chb01,chb01_10,22,T8-P8-1,T8-P8-1
chb01,chb01_11,0,FP1-F7,FP1-F7
chb01,chb01_11,1,F7-T7,F7-T7
chb01,chb01_11,2,T7-P7,T7-P7
chb01,chb01_11,3,P7-O1,P7-O1
chb01,chb01_11,4,FP1-F3,FP1-F3
chb01,chb01_11,5,F3-C3,F3-C3
chb01,chb01_11,6,C3-P3,C3-P3
chb01,chb01_11,7,P3-O1,P3-O1
chb01,chb01_11,8,FP2-F4,FP2-F4
chb01,chb01_11,9,F4-C4,F4-C4
chb01,chb01_11,10,C4-P4,C4-P4
chb01,chb01_11,11,P4-O2,P4-O2
chb01,chb01_11,12,FP2-F8,FP2-F8
chb01,chb01_11,13,F8-T8,F8-T8
chb01,chb01_11,14,T8-P8-0,T8-P8-0
chb01,chb01_11,15,P8-O2,P8-O2
chb01,chb01_11,16,FZ-CZ,FZ-CZ
chb01,chb01_11,17,CZ-PZ,CZ-PZ
chb01,chb01_11,18,P7-T7,P7-T7
chb01,chb01_11,19,T7-FT9,T7-FT9
chb01,chb01_11,20,FT9-FT10,FT9-FT10
chb01,chb01_11,21,FT10-T8,FT10-T8
chb01,chb01_11,22,T8-P8-1,T8-P8-1
chb01,chb01_12,0,FP1-F7,FP1-F7
chb01,chb01_12,1,F7-T7,F7-T7
chb01,chb01_12,2,T7-P7,T7-P7
chb01,chb01_12,3,P7-O1,P7-O1
chb01,chb01_12,4,FP1-F3,FP1-F3
chb01,chb01_12,5,F3-C3,F3-C3
chb01,chb01_12,6,C3-P3,C3-P3
chb01,chb01_12,7,P3-O1,P3-O1
chb01,chb01_12,8,FP2-F4,FP2-F4
chb01,chb01_12,9,F4-C4,F4-C4
chb01,chb01_12,10,C4-P4,C4-P4
chb01,chb01_12,11,P4-O2,P4-O2
chb01,chb01_12,12,FP2-F8,FP2-F8
chb01,chb01_12,13,F8-T8,F8-T8
chb01,chb01_12,14,T8-P8-0,T8-P8-0
chb01,chb01_12,15,P8-O2,P8-O2
chb01,chb01_12,16,FZ-CZ,FZ-CZ
chb01,chb01_12,17,CZ-PZ,CZ-PZ
chb01,chb01_12,18,P7-T7,P7-T7
chb01,chb01_12,19,T7-FT9,T7-FT9
chb01,chb01_12,20,FT9-FT10,FT9-FT10
chb01,chb01_12,21,FT10-T8,FT10-T8
chb01,chb01_12,22,T8-P8-1,T8-P8-1
chb01,chb01_13,0,FP1-F7,FP1-F7
chb01,chb01_13,1,F7-T7,F7-T7
chb01,chb01_13,2,T7-P7,T7-P7
chb01,chb01_13,3,P7-O1,P7-O1
chb01,chb01_13,4,FP1-F3,FP1-F3
chb01,chb01_13,5,F3-C3,F3-C3
chb01,chb01_13,6,C3-P3,C3-P3
chb01,chb01_13,7,P3-O1,P3-O1
chb01,chb01_13,8,FP2-F4,FP2-F4
chb01,chb01_13,9,F4-C4,F4-C4
chb01,chb01_13,10,C4-P4,C4-P4
chb01,chb01_13,11,P4-O2,P4-O2
chb01,chb01_13,12,FP2-F8,FP2-F8
chb01,chb01_13,13,F8-T8,F8-T8
chb01,chb01_13,14,T8-P8-0,T8-P8-0
chb01,chb01_13,15,P8-O2,P8-O2
chb01,chb01_13,16,FZ-CZ,FZ-CZ
chb01,chb01_13,17,CZ-PZ,CZ-PZ
chb01,chb01_13,18,P7-T7,P7-T7
chb01,chb01_13,19,T7-FT9,T7-FT9
chb01,chb01_13,20,FT9-FT10,FT9-FT10
chb01,chb01_13,21,FT10-T8,FT10-T8
chb01,chb01_13,22,T8-P8-1,T8-P8-1
chb01,chb01_14,0,FP1-F7,FP1-F7
chb01,chb01_14,1,F7-T7,F7-T7
chb01,chb01_14,2,T7-P7,T7-P7
chb01,chb01_14,3,P7-O1,P7-O1
chb01,chb01_14,4,FP1-F3,FP1-F3
chb01,chb01_14,5,F3-C3,F3-C3
chb01,chb01_14,6,C3-P3,C3-P3
chb01,chb01_14,7,P3-O1,P3-O1
chb01,chb01_14,8,FP2-F4,FP2-F4
chb01,chb01_14,9,F4-C4,F4-C4
chb01,chb01_14,10,C4-P4,C4-P4
chb01,chb01_14,11,P4-O2,P4-O2
chb01,chb01_14,12,FP2-F8,FP2-F8
chb01,chb01_14,13,F8-T8,F8-T8
chb01,chb01_14,14,T8-P8-0,T8-P8-0
chb01,chb01_14,15,P8-O2,P8-O2
chb01,chb01_14,16,FZ-CZ,FZ-CZ
chb01,chb01_14,17,CZ-PZ,CZ-PZ
chb01,chb01_14,18,P7-T7,P7-T7
chb01,chb01_14,19,T7-FT9,T7-FT9
chb01,chb01_14,20,FT9-FT10,FT9-FT10
chb01,chb01_14,21,FT10-T8,FT10-T8
chb01,chb01_14,22,T8-P8-1,T8-P8-1
chb01,chb01_15,0,FP1-F7,FP1-F7
chb01,chb01_15,1,F7-T7,F7-T7
chb01,chb01_15,2,T7-P7,T7-P7
chb01,chb01_15,3,P7-O1,P7-O1
chb01,chb01_15,4,FP1-F3,FP1-F3
chb01,chb01_15,5,F3-C3,F3-C3
chb01,chb01_15,6,C3-P3,C3-P3
chb01,chb01_15,7,P3-O1,P3-O1
chb01,chb01_15,8,FP2-F4,FP2-F4
chb01,chb01_15,9,F4-C4,F4-C4
chb01,chb01_15,10,C4-P4,C4-P4
chb01,chb01_15,11,P4-O2,P4-O2
chb01,chb01_15,12,FP2-F8,FP2-F8
chb01,chb01_15,13,F8-T8,F8-T8
chb01,chb01_15,14,T8-P8-0,T8-P8-0
chb01,chb01_15,15,P8-O2,P8-O2
chb01,chb01_15,16,FZ-CZ,FZ-CZ
chb01,chb01_15,17,CZ-PZ,CZ-PZ
chb01,chb01_15,18,P7-T7,P7-T7
chb01,chb01_15,19,T7-FT9,T7-FT9
chb01,chb01_15,20,FT9-FT10,FT9-FT10
chb01,chb01_15,21,FT10-T8,FT10-T8
chb01,chb01_15,22,T8-P8-1,T8-P8-1
chb01,chb01_16,0,FP1-F7,FP1-F7
chb01,chb01_16,1,F7-T7,F7-T7
chb01,chb01_16,2,T7-P7,T7-P7
chb01,chb01_16,3,P7-O1,P7-O1
chb01,chb01_16,4,FP1-F3,FP1-F3
chb01,chb01_16,5,F3-C3,F3-C3
chb01,chb01_16,6,C3-P3,C3-P3
chb01,chb01_16,7,P3-O1,P3-O1
chb01,chb01_16,8,FP2-F4,FP2-F4
chb01,chb01_16,9,F4-C4,F4-C4
chb01,chb01_16,10,C4-P4,C4-P4
chb01,chb01_16,11,P4-O2,P4-O2
chb01,chb01_16,12,FP2-F8,FP2-F8
chb01,chb01_16,13,F8-T8,F8-T8
chb01,chb01_16,14,T8-P8-0,T8-P8-0
chb01,chb01_16,15,P8-O2,P8-O2
chb01,chb01_16,16,FZ-CZ,FZ-CZ
chb01,chb01_16,17,CZ-PZ,CZ-PZ
chb01,chb01_16,18,P7-T7,P7-T7
chb01,chb01_16,19,T7-FT9,T7-FT9
chb01,chb01_16,20,FT9-FT10,FT9-FT10
chb01,chb01_16,21,FT10-T8,FT10-T8
chb01,chb01_16,22,T8-P8-1,T8-P8-1
chb01,chb01_17,0,FP1-F7,FP1-F7
chb01,chb01_17,1,F7-T7,F7-T7
chb01,chb01_17,2,T7-P7,T7-P7
chb01,chb01_17,3,P7-O1,P7-O1
chb01,chb01_17,4,FP1-F3,FP1-F3
chb01,chb01_17,5,F3-C3,F3-C3
chb01,chb01_17,6,C3-P3,C3-P3
chb01,chb01_17,7,P3-O1,P3-O1
chb01,chb01_17,8,FP2-F4,FP2-F4
chb01,chb01_17,9,F4-C4,F4-C4
chb01,chb01_17,10,C4-P4,C4-P4
chb01,chb01_17,11,P4-O2,P4-O2
chb01,chb01_17,12,FP2-F8,FP2-F8
chb01,chb01_17,13,F8-T8,F8-T8
chb01,chb01_17,14,T8-P8-0,T8-P8-0
chb01,chb01_17,15,P8-O2,P8-O2
chb01,chb01_17,16,FZ-CZ,FZ-CZ
chb01,chb01_17,17,CZ-PZ,CZ-PZ
chb01,chb01_17,18,P7-T7,P7-T7
chb01,chb01_17,19,T7-FT9,T7-FT9
chb01,chb01_17,20,FT9-FT10,FT9-FT10
chb01,chb01_17,21,FT10-T8,FT10-T8
chb01,chb01_17,22,T8-P8-1,T8-P8-1
chb01,chb01_18,0,FP1-F7,FP1-F7
chb01,chb01_18,1,F7-T7,F7-T7
chb01,chb01_18,2,T7-P7,T7-P7
chb01,chb01_18,3,P7-O1,P7-O1
chb01,chb01_18,4,FP1-F3,FP1-F3
chb01,chb01_18,5,F3-C3,F3-C3
chb01,chb01_18,6,C3-P3,C3-P3
chb01,chb01_18,7,P3-O1,P3-O1
chb01,chb01_18,8,FP2-F4,FP2-F4
chb01,chb01_18,9,F4-C4,F4-C4
chb01,chb01_18,10,C4-P4,C4-P4
chb01,chb01_18,11,P4-O2,P4-O2
chb01,chb01_18,12,FP2-F8,FP2-F8
chb01,chb01_18,13,F8-T8,F8-T8
chb01,chb01_18,14,T8-P8-0,T8-P8-0
chb01,chb01_18,15,P8-O2,P8-O2
chb01,chb01_18,16,FZ-CZ,FZ-CZ
chb01,chb01_18,17,CZ-PZ,CZ-PZ
chb01,chb01_18,18,P7-T7,P7-T7
chb01,chb01_18,19,T7-FT9,T7-FT9
chb01,chb01_18,20,FT9-FT10,FT9-FT10
chb01,chb01_18,21,FT10-T8,FT10-T8
chb01,chb01_18,22,T8-P8-1,T8-P8-1
chb01,chb01_19,0,FP1-F7,FP1-F7
chb01,chb01_19,1,F7-T7,F7-T7
chb01,chb01_19,2,T7-P7,T7-P7
chb01,chb01_19,3,P7-O1,P7-O1
chb01,chb01_19,4,FP1-F3,FP1-F3
chb01,chb01_19,5,F3-C3,F3-C3
chb01,chb01_19,6,C3-P3,C3-P3
chb01,chb01_19,7,P3-O1,P3-O1
chb01,chb01_19,8,FP2-F4,FP2-F4
chb01,chb01_19,9,F4-C4,F4-C4
chb01,chb01_19,10,C4-P4,C4-P4
chb01,chb01_19,11,P4-O2,P4-O2
chb01,chb01_19,12,FP2-F8,FP2-F8
chb01,chb01_19,13,F8-T8,F8-T8
chb01,chb01_19,14,T8-P8-0,T8-P8-0
chb01,chb01_19,15,P8-O2,P8-O2
chb01,chb01_19,16,FZ-CZ,FZ-CZ
chb01,chb01_19,17,CZ-PZ,CZ-PZ
chb01,chb01_19,18,P7-T7,P7-T7
chb01,chb01_19,19,T7-FT9,T7-FT9
chb01,chb01_19,20,FT9-FT10,FT9-FT10
chb01,chb01_19,21,FT10-T8,FT10-T8
chb01,chb01_19,22,T8-P8-1,T8-P8-1
chb01,chb01_20,0,FP1-F7,FP1-F7
chb01,chb01_20,1,F7-T7,F7-T7
chb01,chb01_20,2,T7-P7,T7-P7
chb01,chb01_20,3,P7-O1,P7-O1
chb01,chb01_20,4,FP1-F3,FP1-F3
chb01,chb01_20,5,F3-C3,F3-C3
chb01,chb01_20,6,C3-P3,C3-P3
chb01,chb01_20,7,P3-O1,P3-O1
chb01,chb01_20,8,FP2-F4,FP2-F4
chb01,chb01_20,9,F4-C4,F4-C4
chb01,chb01_20,10,C4-P4,C4-P4
chb01,chb01_20,11,P4-O2,P4-O2
chb01,chb01_20,12,FP2-F8,FP2-F8
chb01,chb01_20,13,F8-T8,F8-T8
chb01,chb01_20,14,T8-P8-0,T8-P8-0
chb01,chb01_20,15,P8-O2,P8-O2
chb01,chb01_20,16,FZ-CZ,FZ-CZ
chb01,chb01_20,17,CZ-PZ,CZ-PZ
chb01,chb01_20,18,P7-T7,P7-T7
chb01,chb01_20,19,T7-FT9,T7-FT9
chb01,chb01_20,20,FT9-FT10,FT9-FT10
chb01,chb01_20,21,FT10-T8,FT10-T8
chb01,chb01_20,22,T8-P8-1,T8-P8-1
chb01,chb01_21,0,FP1-F7,FP1-F7
chb01,chb01_21,1,F7-T7,F7-T7
chb01,chb01_21,2,T7-P7,T7-P7
chb01,chb01_21,3,P7-O1,P7-O1
chb01,chb01_21,4,FP1-F3,FP1-F3
chb01,chb01_21,5,F3-C3,F3-C3
chb01,chb01_21,6,C3-P3,C3-P3
chb01,chb01_21,7,P3-O1,P3-O1
chb01,chb01_21,8,FP2-F4,FP2-F4
chb01,chb01_21,9,F4-C4,F4-C4
chb01,chb01_21,10,C4-P4,C4-P4
chb01,chb01_21,11,P4-O2,P4-O2
chb01,chb01_21,12,FP2-F8,FP2-F8
chb01,chb01_21,13,F8-T8,F8-T8
chb01,chb01_21,14,T8-P8-0,T8-P8-0
chb01,chb01_21,15,P8-O2,P8-O2
chb01,chb01_21,16,FZ-CZ,FZ-CZ
chb01,chb01_21,17,CZ-PZ,CZ-PZ
chb01,chb01_21,18,P7-T7,P7-T7
chb01,chb01_21,19,T7-FT9,T7-FT9
chb01,chb01_21,20,FT9-FT10,FT9-FT10
chb01,chb01_21,21,FT10-T8,FT10-T8
chb01,chb01_21,22,T8-P8-1,T8-P8-1
chb01,chb01_22,0,FP1-F7,FP1-F7
chb01,chb01_22,1,F7-T7,F7-T7
chb01,chb01_22,2,T7-P7,T7-P7
chb01,chb01_22,3,P7-O1,P7-O1
chb01,chb01_22,4,FP1-F3,FP1-F3
chb01,chb01_22,5,F3-C3,F3-C3
chb01,chb01_22,6,C3-P3,C3-P3
chb01,chb01_22,7,P3-O1,P3-O1
chb01,chb01_22,8,FP2-F4,FP2-F4
chb01,chb01_22,9,F4-C4,F4-C4
chb01,chb01_22,10,C4-P4,C4-P4
chb01,chb01_22,11,P4-O2,P4-O2
chb01,chb01_22,12,FP2-F8,FP2-F8
chb01,chb01_22,13,F8-T8,F8-T8
chb01,chb01_22,14,T8-P8-0,T8-P8-0
chb01,chb01_22,15,P8-O2,P8-O2
chb01,chb01_22,16,FZ-CZ,FZ-CZ
chb01,chb01_22,17,CZ-PZ,CZ-PZ
chb01,chb01_22,18,P7-T7,P7-T7
chb01,chb01_22,19,T7-FT9,T7-FT9
chb01,chb01_22,20,FT9-FT10,FT9-FT10
chb01,chb01_22,21,FT10-T8,FT10-T8
chb01,chb01_22,22,T8-P8-1,T8-P8-1
chb01,chb01_23,0,FP1-F7,FP1-F7
chb01,chb01_23,1,F7-T7,F7-T7
chb01,chb01_23,2,T7-P7,T7-P7
chb01,chb01_23,3,P7-O1,P7-O1
chb01,chb01_23,4,FP1-F3,FP1-F3
chb01,chb01_23,5,F3-C3,F3-C3
chb01,chb01_23,6,C3-P3,C3-P3
chb01,chb01_23,7,P3-O1,P3-O1
chb01,chb01_23,8,FP2-F4,FP2-F4
chb01,chb01_23,9,F4-C4,F4-C4
chb01,chb01_23,10,C4-P4,C4-P4
chb01,chb01_23,11,P4-O2,P4-O2
chb01,chb01_23,12,FP2-F8,FP2-F8
chb01,chb01_23,13,F8-T8,F8-T8
chb01,chb01_23,14,T8-P8-0,T8-P8-0
chb01,chb01_23,15,P8-O2,P8-O2
chb01,chb01_23,16,FZ-CZ,FZ-CZ
chb01,chb01_23,17,CZ-PZ,CZ-PZ
chb01,chb01_23,18,P7-T7,P7-T7
chb01,chb01_23,19,T7-FT9,T7-FT9
chb01,chb01_23,20,FT9-FT10,FT9-FT10
chb01,chb01_23,21,FT10-T8,FT10-T8
chb01,chb01_23,22,T8-P8-1,T8-P8-1
chb01,chb01_24,0,FP1-F7,FP1-F7
chb01,chb01_24,1,F7-T7,F7-T7
chb01,chb01_24,2,T7-P7,T7-P7
chb01,chb01_24,3,P7-O1,P7-O1
chb01,chb01_24,4,FP1-F3,FP1-F3
chb01,chb01_24,5,F3-C3,F3-C3
chb01,chb01_24,6,C3-P3,C3-P3
chb01,chb01_24,7,P3-O1,P3-O1
chb01,chb01_24,8,FP2-F4,FP2-F4
chb01,chb01_24,9,F4-C4,F4-C4
chb01,chb01_24,10,C4-P4,C4-P4
chb01,chb01_24,11,P4-O2,P4-O2
chb01,chb01_24,12,FP2-F8,FP2-F8
chb01,chb01_24,13,F8-T8,F8-T8
chb01,chb01_24,14,T8-P8-0,T8-P8-0
chb01,chb01_24,15,P8-O2,P8-O2
chb01,chb01_24,16,FZ-CZ,FZ-CZ
chb01,chb01_24,17,CZ-PZ,CZ-PZ
chb01,chb01_24,18,P7-T7,P7-T7
chb01,chb01_24,19,T7-FT9,T7-FT9
